"","date","time","timezone","content","replies","retweets","likes","hashtags"
"1","2018-04-08","23:58:19","Hora est. Pacífico, Sudamérica","Hay una palabra para el #DebateCaribe y es: MEMORABLE efecto bumerang -->  pic.twitter.com/TuBzSL9AJw","2","32","29","#DebateCaribe"
"2","2018-04-08","23:49:15","Hora est. Pacífico, Sudamérica","Acabo de ver el #DebateCaribe presidencial en @UninorteCO y cada vez esta mas clara mi intención de voto por @sergio_fajardo. Me gusta las ganas de conciliar y colaborar con otros partidos para construir un país <Emoji: Flag of Colombia> prospero para todos.","0","1","2","#DebateCaribe"
"3","2018-04-08","23:41:26","Hora est. Pacífico, Sudamérica","@DebateCol Tan bueno como el #DebateCaribe el impecable análisis de @eduardomackenz1  http://www.periodicodebate.com/index.php/opinion/columnistas-nacionales/item/18612-el-debate-en-barranquilla-un-punto-de-vista?utm_source=feedburner&utm_medium=email&utm_campaign=Feed:+Portada-PeridicoDebate-PeridicoDebate+(Portada+-+Peri … vía @debatecol pic.twitter.com/fHbYQ3owXA","1","17","10","#DebateCaribe"
"4","2018-04-08","23:37:41","Hora est. Pacífico, Sudamérica","Quedé muy contenta con los resultados de #debatecaribe en @UninorteCO.  Espacio en que los estudiantes, los empresarios y la ciudadanía pudo escuchar de viva voz las ideas de quienes aspiran a liderar el destino de Colombia. Uninorte sigue trabajando para formar buenos ciudadanos","0","1","14","#debatecaribe"
"5","2018-04-08","23:30:00","Hora est. Pacífico, Sudamérica","Esta semana en @lasillacaribe: Los expertos de nuestra Red Caribe debaten sobre el #DebateCaribe.   http://lasillavacia.com/silla-llena/red-caribe/conversacion/como-les-parecieron-las-intervenciones-de-los-candidatos-en-el#comment-203462 …","0","0","0","#DebateCaribe,#comment"
"6","2018-04-08","23:23:37","Hora est. Pacífico, Sudamérica","· La tuteada en el Debate Caribe-Humberto de la Calle (en tono jocoso y con una sonrisa en la boca, preguntó): mi estimado Iván, ¿por qué no me defines cuál es la idea que tú tienes de los derechos de las...  https://www.facebook.com/orietta.garces/posts/10216067961708722 …","0","0","0",""
"7","2018-04-08","23:21:21","Hora est. Pacífico, Sudamérica","Me gustó un video de @YouTube  http://youtu.be/bMEfRgi2hb8?a  2do Debate Presidencial | #DebateCaribe","0","0","0","#DebateCaribe"
"8","2018-04-08","23:17:40","Hora est. Pacífico, Sudamérica","#CoalicionColombia #debatecaribe  https://twitter.com/edgardogr1972/status/983006611177443328 …","0","0","0","#CoalicionColombia,#debatecaribe"
"9","2018-04-08","23:04:33","Hora est. Pacífico, Sudamérica","Álvaro Uribe fue el que contrato por primera vez a JJ Rendón para que hiciera campaña negra. Y desde ahí no deja de utilizar la misma estratégia. #DebateCaribe","0","1","0","#DebateCaribe"
"10","2018-04-08","22:52:58","Hora est. Pacífico, Sudamérica","Ese es mi candidato Debate Caribe: Desempeño de Iván Duque, de pollo a gallo https://search.app.goo.gl/7jVnr Compartido desde mi feed de Google","0","0","0",""
"11","2018-04-08","22:49:36","Hora est. Pacífico, Sudamérica","¿Vieron #DebateCaribe? ¿Vieron lo que produjo el discurso de odio de #IvánDuque al hablar sobre las FARC? Peleas entre los asistentes y a él ni le importó y Lleras lo único que se hizo fue burlarse.","0","0","1","#DebateCaribe,#IvánDuque"
"12","2018-04-08","22:44:12","Hora est. Pacífico, Sudamérica","Lo que no nos mostraron del #DebateCaribe <Emoji: Purple heart>  pic.twitter.com/zjcUDNVMVV","0","1","10","#DebateCaribe"
"13","2018-04-08","22:22:28","Hora est. Pacífico, Sudamérica","@IvanCepedaCast @JohnJGutierrezV @camiloard @silotna Más bn lea así se le quita lo petristas y no la.peinan tan fácil   http://www.semana.com/nacion/articulo/debate-caribe-desempeno-de-ivan-duque-de-pollo-a-gallo/562978 …Debate Caribe: Desempeño de Iván Duque, de pollo a gallo http://www.semana.com/nacion/articulo/debate-caribe-desempeno-de-ivan-duque-de-pollo-a-gallo/562978 …","0","0","0",""
"14","2018-04-08","22:20:35","Hora est. Pacífico, Sudamérica","Quizá es lo que quizo decir @DeLaCalleHum en el debate Caribe en U del Norte con ""Alianza colombianista para el futuro de esta nación"". Eso sería excelente. Un realinderamiento de los partidos frente a la disyuntiva actual de vida o muerte, guerra o paz. El momento nos convoca.  https://twitter.com/carloshtorivera/status/983099683554947072 …","0","0","0",""
"15","2018-04-08","22:15:58","Hora est. Pacífico, Sudamérica","La verdad sobre el debate caribe  https://twitter.com/RevistaSemana/status/983043884870766593 …","0","0","0",""
"16","2018-04-08","22:07:44","Hora est. Pacífico, Sudamérica","Me ha gustado un vídeo de @YouTube ( http://youtu.be/GBEJcfvccPM?a  - GUSTAVO PETRO VENCE DE NUEVO AL DE ÁLVARO URIBE - DEBATE CARIBE -","0","0","0",""
"17","2018-04-08","21:53:15","Hora est. Pacífico, Sudamérica","Ayer descubrí que sí hay uribistas inocentes y estudiados. Son igualitos a los demás, solo que escriben sus dogmas sin errores de ortografía #LaNoche24h #NadaEsTanTristeComo #PetroGanaElDebate #DebateEnAntioquia #DebateCaribe #ColombiaHumana #Ecopetrol #MedioAmbiente","0","0","0","#LaNoche24h,#NadaEsTanTristeComo,#PetroGanaElDebate,#DebateEnAntioquia,#DebateCaribe,#ColombiaHumana,#Ecopetrol,#MedioAmbiente"
"18","2018-04-08","21:44:21","Hora est. Pacífico, Sudamérica","Buen resumen del #DebateEnAntioquia aunque el carnudo fue el #DebateCaribe Pasamos de cero debates a ¡dos por semana! @CarlosCortes https://twitter.com/lasillavacia/status/982976327778291712 …","0","1","1","#DebateEnAntioquia,#DebateCaribe"
